date,repository,stars,timestamp,url
2022-10-09,mamba-org/mamba,3732,20221009170835,https://web.archive.org/web/20221009170835id_/https://github.com/mamba-org/mamba
2022-10-10,conda/conda,4913,20221010170800,https://web.archive.org/web/20221010170800id_/https://github.com/conda/conda
2022-11-07,mamba-org/mamba,3847,20221107174920,https://web.archive.org/web/20221107174920id_/https://github.com/mamba-org/mamba
2022-11-18,conda/conda,4990,20221118090448,https://web.archive.org/web/20221118090448id_/https://github.com/conda/conda
2022-12-02,mamba-org/mamba,3931,20221202224102,https://web.archive.org/web/20221202224102id_/https://github.com/mamba-org/mamba
2022-12-03,conda/conda,5015,20221203055243,https://web.archive.org/web/20221203055243id_/https://github.com/conda/conda
2023-01-06,conda/conda,5088,20230106011650,https://web.archive.org/web/20230106011650id_/https://github.com/conda/conda
2023-01-11,mamba-org/mamba,4074,20230111020320,https://web.archive.org/web/20230111020320id_/https://github.com/mamba-org/mamba
2023-02-08,mamba-org/mamba,4169,20230208041226,https://web.archive.org/web/20230208041226id_/https://github.com/mamba-org/mamba
2023-03-12,mamba-org/mamba,4309,20230312034935,https://web.archive.org/web/20230312034935id_/https://github.com/mamba-org/mamba
2023-03-24,conda/conda,5265,20230324045700,https://web.archive.org/web/20230324045700id_/https://github.com/conda/conda/
2023-04-03,mamba-org/mamba,4438,20230403194033,https://web.archive.org/web/20230403194033id_/https://github.com/mamba-org/mamba
2023-04-13,conda/conda,5346,20230413235204,https://web.archive.org/web/20230413235204id_/https://github.com/conda/conda
2023-05-18,conda/conda,5444,20230518071139,https://web.archive.org/web/20230518071139id_/https://github.com/conda/conda
2023-05-24,mamba-org/mamba,4693,20230524024125,https://web.archive.org/web/20230524024125id_/https://github.com/mamba-org/mamba
2023-06-09,conda/conda,5496,20230609010453,https://web.archive.org/web/20230609010453id_/https://github.com/conda/conda
2023-07-17,prefix-dev/pixi,91,20230717093110,https://web.archive.org/web/20230717093110id_/https://github.com/prefix-dev/pixi
2023-07-26,mamba-org/mamba,4944,20230726114345,https://web.archive.org/web/20230726114345id_/https://github.com/mamba-org/mamba
2023-08-07,mamba-org/mamba,5004,20230807134652,https://web.archive.org/web/20230807134652id_/https://github.com/mamba-org/mamba
2023-08-08,conda/conda,5634,20230808140609,https://web.archive.org/web/20230808140609id_/https://github.com/conda/conda
2023-08-18,prefix-dev/pixi,264,20230818030711,https://web.archive.org/web/20230818030711id_/https://github.com/prefix-dev/pixi
2023-09-15,mamba-org/mamba,5167,20230915132328,https://web.archive.org/web/20230915132328id_/https://github.com/mamba-org/mamba
2023-09-23,conda/conda,5709,20230923223651,https://web.archive.org/web/20230923223651id_/https://github.com/conda/conda/
2023-10-07,mamba-org/mamba,5227,20231007005329,https://web.archive.org/web/20231007005329id_/https://github.com/mamba-org/mamba
2023-10-10,conda/conda,5737,20231010184001,https://web.archive.org/web/20231010184001id_/https://github.com/conda/conda/
2023-10-20,prefix-dev/pixi,925,20231020023224,https://web.archive.org/web/20231020023224id_/https://github.com/prefix-dev/pixi
2023-11-07,conda/conda,5796,20231107130648,https://web.archive.org/web/20231107130648id_/https://github.com/conda/conda
2023-11-07,mamba-org/mamba,5339,20231107003836,https://web.archive.org/web/20231107003836id_/https://github.com/mamba-org/mamba
2023-12-08,mamba-org/mamba,5498,20231208213659,https://web.archive.org/web/20231208213659id_/https://github.com/mamba-org/mamba
2023-12-18,prefix-dev/pixi,1270,20231218081509,https://web.archive.org/web/20231218081509id_/https://github.com/prefix-dev/pixi
2023-12-24,conda/conda,5893,20231224015504,https://web.archive.org/web/20231224015504id_/https://github.com/conda/conda
2024-01-11,conda/conda,5922,20240111230817,https://web.archive.org/web/20240111230817id_/https://github.com/conda/conda
2024-01-17,mamba-org/mamba,5704,20240117135602,https://web.archive.org/web/20240117135602id_/https://github.com/mamba-org/mamba
2024-02-04,conda/conda,5957,20240204003504,https://web.archive.org/web/20240204003504id_/https://github.com/conda/conda
2024-02-08,prefix-dev/pixi,1473,20240208232838,https://web.archive.org/web/20240208232838id_/https://github.com/prefix-dev/pixi
2024-03-02,mamba-org/mamba,5942,20240302014044,https://web.archive.org/web/20240302014044id_/https://github.com/mamba-org/mamba
2024-03-20,prefix-dev/pixi,1654,20240320082703,https://web.archive.org/web/20240320082703id_/https://github.com/prefix-dev/pixi
2024-03-31,conda/conda,6054,20240331135756,https://web.archive.org/web/20240331135756id_/https://github.com/conda/conda
2024-04-07,conda/conda,6061,20240407002020,https://web.archive.org/web/20240407002020id_/https://github.com/conda/conda
2024-05-17,conda/conda,6135,20240517174144,https://web.archive.org/web/20240517174144id_/https://github.com/conda/conda
2024-05-20,mamba-org/mamba,6358,20240520094145,https://web.archive.org/web/20240520094145id_/https://github.com/mamba-org/mamba
